model,perturbation,loss,accuracy,precision_macro,recall_macro,f1_macro,accuracy_drop,relative_accuracy_drop
mlp,clean,0.321756,0.886489,0.889465,0.886489,0.885064,0.0,0.0
mlp,rotation_5,0.339059,0.879362,0.881465,0.879362,0.878038,0.007128,0.00804
mlp,rotation_10,0.367309,0.871436,0.873388,0.871436,0.869963,0.015053,0.016981
mlp,rotation_15,0.432955,0.850372,0.851819,0.850372,0.849026,0.036117,0.040742
mlp,gaussian_noise_0.05,0.317883,0.885957,0.890115,0.885958,0.883864,0.000532,0.0006
mlp,gaussian_noise_0.10,0.342656,0.880426,0.886168,0.880425,0.877771,0.006064,0.00684
mlp,gaussian_noise_0.15,0.47363,0.841277,0.849577,0.841277,0.836065,0.045213,0.051002
mlp,gaussian_noise_0.20,0.881126,0.738936,0.78781,0.738936,0.727902,0.147553,0.166447
mlp,blur_3,0.331178,0.882553,0.885602,0.882553,0.880757,0.003936,0.00444
mlp,blur_5,0.357308,0.874149,0.877506,0.874149,0.872118,0.01234,0.013921
cnn,clean,0.313744,0.891383,0.892024,0.891383,0.890777,0.0,0.0
cnn,rotation_5,0.352286,0.876117,0.876003,0.876117,0.875192,0.015266,0.017126
cnn,rotation_10,0.448162,0.847287,0.849644,0.847287,0.846154,0.044096,0.049469
cnn,rotation_15,0.625698,0.793989,0.802626,0.793989,0.793487,0.097394,0.109261
cnn,gaussian_noise_0.05,0.321286,0.888245,0.888488,0.888245,0.887812,0.003138,0.003521
cnn,gaussian_noise_0.10,0.48633,0.839309,0.845573,0.839309,0.836536,0.052074,0.05842
cnn,gaussian_noise_0.15,1.475157,0.588777,0.729807,0.588777,0.556795,0.302606,0.33948
cnn,gaussian_noise_0.20,3.793827,0.312713,0.578482,0.312713,0.269515,0.57867,0.649182
cnn,blur_3,0.435616,0.850479,0.862038,0.850479,0.850247,0.040904,0.045889
cnn,blur_5,0.587032,0.803457,0.831022,0.803457,0.805891,0.087926,0.098639
resnet,clean,0.278787,0.901649,0.902074,0.901649,0.901396,0.0,0.0
resnet,rotation_5,0.33259,0.884309,0.885567,0.884309,0.883943,0.01734,0.019232
resnet,rotation_10,0.414087,0.859468,0.864141,0.859468,0.858919,0.042181,0.046782
resnet,rotation_15,0.535972,0.8225,0.83158,0.8225,0.821835,0.079149,0.087782
resnet,gaussian_noise_0.05,0.297395,0.894947,0.896879,0.894947,0.894602,0.006702,0.007433
resnet,gaussian_noise_0.10,0.515745,0.834362,0.853014,0.834362,0.828375,0.067287,0.074627
resnet,gaussian_noise_0.15,2.078401,0.498191,0.699062,0.498192,0.463828,0.403457,0.447466
resnet,gaussian_noise_0.20,5.522566,0.226436,0.441979,0.226436,0.170771,0.675213,0.748864
resnet,blur_3,0.450565,0.839096,0.865323,0.839096,0.835453,0.062553,0.069376
resnet,blur_5,0.805179,0.735426,0.808926,0.735426,0.72741,0.166223,0.184355
vit,clean,0.334607,0.893032,0.893672,0.893032,0.892276,0.0,0.0
vit,rotation_5,0.35883,0.88516,0.885555,0.88516,0.884152,0.007872,0.008815
vit,rotation_10,0.486055,0.85266,0.85517,0.85266,0.851619,0.040372,0.045208
vit,rotation_15,0.558424,0.829574,0.835302,0.829574,0.829646,0.063457,0.071058
vit,gaussian_noise_0.05,0.337742,0.891011,0.89222,0.891011,0.890181,0.002021,0.002263
vit,gaussian_noise_0.10,0.348604,0.886011,0.887723,0.886011,0.885134,0.007021,0.007862
vit,gaussian_noise_0.15,0.386494,0.872287,0.875164,0.872287,0.871688,0.020745,0.023229
vit,gaussian_noise_0.20,0.554301,0.816755,0.825408,0.816755,0.81487,0.076277,0.085413
vit,blur_3,0.415718,0.862181,0.872738,0.862181,0.860657,0.030851,0.034546
vit,blur_5,0.524549,0.829096,0.851778,0.829096,0.825859,0.063936,0.071594
